total: 21233
total up: 642
date;daily up;total up;new uploaders
2013-09-01;1014;1014;59
2013-09-02;822;1809;43
2013-09-03;572;2354;31
2013-09-04;536;2858;28
2013-09-05;401;3269;23
2013-09-06;445;3720;13
2013-09-07;480;4238;31
2013-09-08;586;4821;21
2013-09-09;710;5525;16
2013-09-10;565;6091;19
2013-09-11;431;6518;15
2013-09-12;376;6897;19
2013-09-13;496;7388;13
2013-09-14;577;7962;27
2013-09-15;858;8814;21
2013-09-16;493;9293;17
2013-09-17;601;9871;19
2013-09-18;469;10333;19
2013-09-19;498;10847;9
2013-09-20;615;11497;20
2013-09-21;1029;12528;18
2013-09-22;722;13235;22
2013-09-23;597;13822;11
2013-09-24;983;14794;9
2013-09-25;839;15611;18
2013-09-26;731;16349;16
2013-09-27;935;17267;6
2013-09-28;925;18187;13
2013-09-29;1408;19590;25
2013-09-30;1518;21175;41
